,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[345],4.071,1.699,0.831,7.497
likelihood_unobserved[346],3.27,1.7,-0.1,6.563
likelihood_unobserved[347],4.118,1.706,0.781,7.407
likelihood_unobserved[348],3.235,1.706,-0.103,6.554
likelihood_unobserved[349],4.08,1.718,0.654,7.347
likelihood_unobserved[350],3.254,1.742,-0.228,6.514
likelihood_unobserved[351],4.1,1.729,0.762,7.48
likelihood_unobserved[352],3.249,1.737,-0.18,6.632
likelihood_unobserved[353],4.114,1.727,0.94,7.597
likelihood_unobserved[354],3.254,1.721,0.003,6.711
likelihood_unobserved[355],4.119,1.709,0.589,7.261
likelihood_unobserved[356],3.199,1.735,-0.144,6.588
likelihood_unobserved[357],4.074,1.717,0.784,7.54
likelihood_unobserved[358],3.26,1.742,-0.021,6.7
likelihood_unobserved[359],4.097,1.698,0.737,7.43
likelihood_unobserved[360],3.218,1.727,-0.12,6.64
likelihood_unobserved[361],4.096,1.753,0.737,7.623
likelihood_unobserved[362],3.243,1.72,-0.096,6.663
likelihood_unobserved[363],4.058,1.702,0.594,7.216
likelihood_unobserved[364],3.262,1.747,-0.299,6.562
likelihood_unobserved[365],4.143,1.703,0.869,7.541
likelihood_unobserved[366],3.226,1.735,-0.336,6.525
likelihood_unobserved[367],4.078,1.717,0.759,7.476
likelihood_unobserved[368],3.212,1.726,-0.327,6.568
likelihood_unobserved[369],4.103,1.715,0.74,7.379
likelihood_unobserved[370],3.191,1.712,-0.104,6.676
likelihood_unobserved[371],4.084,1.696,0.875,7.433
likelihood_unobserved[372],3.24,1.669,0.068,6.536
likelihood_unobserved[373],4.071,1.747,0.639,7.458
likelihood_unobserved[374],3.247,1.732,-0.262,6.587
likelihood_unobserved[375],4.144,1.719,0.76,7.433
likelihood_unobserved[376],3.264,1.709,-0.185,6.541
likelihood_unobserved[377],4.101,1.726,0.773,7.5
likelihood_unobserved[378],3.281,1.737,-0.166,6.631
likelihood_unobserved[379],4.144,1.744,0.845,7.649
likelihood_unobserved[380],3.252,1.701,-0.11,6.544
likelihood_unobserved[381],4.085,1.701,0.735,7.35
likelihood_unobserved[382],3.213,1.741,-0.181,6.616
likelihood_unobserved[383],4.074,1.7,0.69,7.319
likelihood_unobserved[384],3.251,1.726,0.04,6.809
likelihood_unobserved[385],4.139,1.724,0.728,7.46
likelihood_unobserved[386],3.224,1.72,-0.206,6.516
likelihood_unobserved[387],4.084,1.719,0.758,7.511
likelihood_unobserved[388],3.275,1.715,0.015,6.726
likelihood_unobserved[389],4.15,1.704,0.752,7.512
likelihood_unobserved[390],3.226,1.713,0.001,6.694
likelihood_unobserved[391],4.09,1.712,0.758,7.457
likelihood_unobserved[392],3.223,1.728,-0.141,6.626
likelihood_unobserved[393],4.107,1.722,0.708,7.522
likelihood_unobserved[394],3.265,1.726,-0.187,6.528
likelihood_unobserved[395],4.145,1.717,0.726,7.418
likelihood_unobserved[396],3.267,1.753,-0.024,6.856
likelihood_unobserved[397],4.123,1.69,0.86,7.516
likelihood_unobserved[398],3.202,1.716,-0.054,6.699
likelihood_unobserved[399],4.114,1.747,0.604,7.505
likelihood_unobserved[400],3.23,1.712,-0.021,6.668
likelihood_unobserved[401],4.092,1.761,0.678,7.481
likelihood_unobserved[402],3.229,1.712,0.07,6.739
likelihood_unobserved[403],4.088,1.728,0.605,7.344
likelihood_unobserved[404],3.274,1.734,-0.151,6.579
likelihood_unobserved[405],4.132,1.737,0.794,7.543
likelihood_unobserved[406],3.208,1.71,-0.124,6.558
likelihood_unobserved[407],4.09,1.716,0.677,7.336
likelihood_unobserved[408],3.278,1.735,-0.212,6.569
likelihood_unobserved[409],4.157,1.707,0.931,7.573
likelihood_unobserved[410],3.214,1.715,-0.08,6.614
likelihood_unobserved[411],4.055,1.74,0.679,7.537
likelihood_unobserved[412],3.26,1.702,-0.055,6.585
likelihood_unobserved[413],4.153,1.707,0.916,7.467
likelihood_unobserved[414],3.274,1.735,-0.198,6.605
likelihood_unobserved[415],4.104,1.722,0.773,7.423
likelihood_unobserved[416],3.311,1.734,-0.061,6.695
likelihood_unobserved[417],4.132,1.708,0.862,7.53
likelihood_unobserved[418],3.203,1.749,-0.197,6.587
likelihood_unobserved[419],4.089,1.73,0.638,7.419
likelihood_unobserved[420],3.282,1.743,-0.042,6.85
likelihood_unobserved[421],4.146,1.716,0.917,7.66
likelihood_unobserved[422],3.239,1.713,0.039,6.688
likelihood_unobserved[423],4.077,1.697,0.835,7.375
likelihood_unobserved[424],3.253,1.738,-0.045,6.791
likelihood_unobserved[425],4.137,1.71,0.689,7.389
likelihood_unobserved[426],3.234,1.718,-0.102,6.682
likelihood_unobserved[427],4.1,1.706,0.737,7.399
likelihood_unobserved[428],3.257,1.713,0.057,6.688
likelihood_unobserved[429],4.156,1.726,0.805,7.62
likelihood_unobserved[430],3.196,1.739,-0.214,6.609
likelihood_unobserved[431],4.062,1.71,0.8,7.372
likelihood_unobserved[432],3.27,1.747,-0.051,6.744
likelihood_unobserved[433],4.154,1.72,0.75,7.452
likelihood_unobserved[434],3.244,1.701,-0.102,6.465
likelihood_unobserved[435],4.082,1.723,0.729,7.532
likelihood_unobserved[436],3.207,1.729,-0.272,6.564
likelihood_unobserved[437],4.072,1.706,0.683,7.338
likelihood_unobserved[438],3.236,1.709,-0.142,6.522
likelihood_unobserved[439],4.074,1.755,0.769,7.666
likelihood_unobserved[440],3.224,1.712,-0.144,6.504
likelihood_unobserved[441],4.104,1.735,0.858,7.633
likelihood_unobserved[442],3.247,1.728,-0.115,6.639
likelihood_unobserved[443],4.037,1.68,0.613,7.173
likelihood_unobserved[444],3.255,1.742,-0.159,6.727
likelihood_unobserved[445],4.122,1.727,0.713,7.507
likelihood_unobserved[446],3.23,1.735,-0.072,6.628
likelihood_unobserved[447],4.101,1.682,0.927,7.495
likelihood_unobserved[448],3.276,1.696,-0.095,6.49
likelihood_unobserved[449],4.139,1.692,0.767,7.407
likelihood_unobserved[450],3.248,1.692,-0.009,6.576
likelihood_unobserved[451],4.068,1.728,0.686,7.511
likelihood_unobserved[452],3.292,1.723,0.144,6.84
likelihood_unobserved[453],4.152,1.727,0.821,7.514
likelihood_unobserved[454],3.23,1.722,-0.202,6.5
likelihood_unobserved[455],4.079,1.711,0.859,7.505
likelihood_unobserved[456],3.245,1.722,-0.142,6.661
likelihood_unobserved[457],4.151,1.703,0.704,7.313
likelihood_unobserved[458],3.22,1.735,-0.173,6.492
likelihood_unobserved[459],4.109,1.728,0.721,7.451
likelihood_unobserved[460],3.262,1.72,-0.067,6.63
likelihood_unobserved[461],4.147,1.722,0.823,7.572
likelihood_unobserved[462],3.222,1.746,-0.381,6.434
likelihood_unobserved[463],4.071,1.749,0.714,7.584
likelihood_unobserved[464],3.242,1.719,-0.083,6.607
likelihood_unobserved[465],4.146,1.731,0.905,7.592
likelihood_unobserved[466],3.212,1.743,-0.321,6.59
likelihood_unobserved[467],4.101,1.741,0.639,7.411
likelihood_unobserved[468],3.217,1.761,-0.201,6.699
likelihood_unobserved[469],4.093,1.731,0.736,7.511
likelihood_unobserved[470],3.258,1.723,-0.133,6.523
likelihood_unobserved[471],4.154,1.708,0.878,7.499
likelihood_unobserved[472],3.2,1.705,-0.059,6.525
likelihood_unobserved[473],4.06,1.707,0.732,7.371
likelihood_unobserved[474],3.218,1.7,0.003,6.707
likelihood_unobserved[475],4.069,1.74,0.68,7.529
likelihood_unobserved[476],3.208,1.713,-0.097,6.578
likelihood_unobserved[477],4.09,1.727,0.683,7.47
likelihood_unobserved[478],3.216,1.725,-0.146,6.542
likelihood_unobserved[479],4.093,1.721,0.747,7.486
likelihood_unobserved[480],3.212,1.705,-0.011,6.661
likelihood_unobserved[481],4.066,1.739,0.781,7.585
