,mean,sd,hdi_2.5%,hdi_97.5%
likelihood_unobserved[426],0.003,0.001,0.002,0.004
likelihood_unobserved[427],0.003,0.001,0.001,0.004
likelihood_unobserved[428],0.007,0.002,0.005,0.01
likelihood_unobserved[429],0.006,0.004,0.002,0.01
likelihood_unobserved[430],0.004,0.002,0.002,0.005
likelihood_unobserved[431],0.002,0.0,0.002,0.002
likelihood_unobserved[432],0.002,0.001,0.001,0.002
likelihood_unobserved[433],0.002,0.001,0.001,0.003
likelihood_unobserved[434],0.007,0.006,0.001,0.012
likelihood_unobserved[435],0.006,0.001,0.005,0.006
likelihood_unobserved[436],0.003,0.002,0.001,0.005
likelihood_unobserved[437],0.004,0.001,0.003,0.005
likelihood_unobserved[438],0.003,0.001,0.001,0.004
likelihood_unobserved[439],0.003,0.0,0.003,0.003
likelihood_unobserved[440],0.003,0.002,0.001,0.006
likelihood_unobserved[441],0.007,0.003,0.004,0.01
likelihood_unobserved[442],0.004,0.001,0.004,0.005
likelihood_unobserved[443],0.004,0.001,0.003,0.006
likelihood_unobserved[444],0.003,0.001,0.002,0.004
likelihood_unobserved[445],0.002,0.0,0.002,0.002
likelihood_unobserved[446],0.004,0.002,0.002,0.005
likelihood_unobserved[447],0.006,0.003,0.003,0.009
likelihood_unobserved[448],0.004,0.001,0.002,0.005
likelihood_unobserved[449],0.002,0.001,0.001,0.002
likelihood_unobserved[450],0.006,0.0,0.006,0.006
likelihood_unobserved[451],0.008,0.005,0.003,0.012
likelihood_unobserved[452],0.002,0.0,0.002,0.003
likelihood_unobserved[453],0.006,0.005,0.001,0.011
likelihood_unobserved[454],0.005,0.004,0.001,0.009
likelihood_unobserved[455],0.006,0.004,0.001,0.01
likelihood_unobserved[456],0.003,0.0,0.003,0.003
likelihood_unobserved[457],0.003,0.001,0.001,0.004
likelihood_unobserved[458],0.004,0.003,0.001,0.007
likelihood_unobserved[459],0.004,0.002,0.002,0.006
likelihood_unobserved[460],0.007,0.002,0.005,0.009
likelihood_unobserved[461],0.004,0.002,0.001,0.006
likelihood_unobserved[462],0.005,0.0,0.005,0.005
likelihood_unobserved[463],0.005,0.003,0.001,0.008
likelihood_unobserved[464],0.007,0.005,0.002,0.013
likelihood_unobserved[465],0.005,0.004,0.002,0.009
likelihood_unobserved[466],0.004,0.003,0.001,0.007
likelihood_unobserved[467],0.008,0.002,0.006,0.011
likelihood_unobserved[468],0.008,0.002,0.006,0.011
likelihood_unobserved[469],0.003,0.001,0.002,0.004
likelihood_unobserved[470],0.003,0.0,0.003,0.003
likelihood_unobserved[471],0.002,0.001,0.002,0.003
